title,description,full-description,aow,riasec,category,image,new
100 year counsellor,"100 year counsellors will help people to have a productive and fulfilling life, particularly as they age.","In the future our lives will be further extended by health and medical advances, so that we can expect our ‘Third Age’, after childhood and mid-lives which are focused on work and family, to be potentially ‘the best time of our lives’.
A 100 Year Counsellor will work with people over all of their lives, but particularly into the third age, so as to support them to have a productive and fulfilling life at any age.
They will work with individuals and groups, such as Local Community Growth Co-ordinators, to advise on how to effectively align psychological, social and economic aspects of each age, to maximise people’s human potential. They will also have a role as advocates for age transition management.
The 100 Year Counsellor will need to have human skills such as empathy and a caring disposition, but also good knowledge of health technologies such as anticipatory prosthetics, and the ability to communicate with professionals such as age-transition psychologists, nostalgists, and whole-of-life educators.","AOW5, AOW8","S, E",people,,new
Additive manufacturing engineer,Additive manufacturing engineers will be responsible for making everything from satellite dishes to refrigerators.,"Additive manufacturing engineers will be responsible for making everything from satellite dishes to refrigerators.
Additive manufacturing will have been around for 20 years. It involves the building up of a material product, layer by layer, using material in fine powder form. It is the opposite to traditional methods, where material is removed to carve a shape. It is closely allied to 3D printing, which is one method of additive manufacturing.
Additive manufacturing engineers will be increasingly in demand to design purpose built products, in particular prototypes, and high tolerance miniaturised machine parts.
The Additive Manufacturing Engineer will work with designers, technicians and material scientists.
Additive Manufacturing Engineers will have strong engineering skills, problem solving, and creative design skills. They also need strong communication skills and collaborative dispositions to work in multidisciplinary teams.",AOW19,"I, A",tech,,
Aesthetician,Aestheticians will help people enhance their physical appearances using the latest in biochemistry and fashion technology.,"Aestheticians work with people to enhance their physical appearances.
With technological advances and developments in biochemistry, aestheticians will design advanced beauty solutions involving the face, hair and body. They will offer personalised skin and haircare services designed specifically for the individual’s beauty and health needs, based on digital analysis.
Many Aestheticians will work closely with the aging population. They will design environmentally responsive makeup, hairstyles, eye lenses and fashionable face or body prosthetics for individualised looks, and consult about clothing choices that enhance a person’s overall appearance.
They may work with 3D Printed Fashion Designers and Virtual Avatar Generators as part of integrated image management services.
As surveillance in public places is now an everyday part of life, Aestheticians may help people to build physical appearances that maintain their privacy through the use of image-scrambling finishes and projections.
Aestheticians are highly creative, and have well-developed communication skills to work effectively with clients and collaborators. They will be able to use digital tools to analyse people’s beauty and health needs and apply digital solutions. They will be hands-on practitioners, and need to keep abreast of the latest developments in aesthetic digital and physical solutions.","AOW8, AOW15","S, A",people,,
Aged health carer of the future,Aged health carers will ensure the quality of life of elderly people.,"Aged Health Carers provide health support and caring services to elderly people.
In the future, with continuing advancements in medicine, elderly people who need ongoing care will be much older than those in residential facilities and nursing homes today.
Robots do much of the manual work (such as lifting and transport), provide support with daily living tasks, monitor patients, and manage records. Medication is managed by automated delivery systems.
Aged health carers are primarily responsible for ensuring the quality of life of elderly people, by spending time with them, interacting with them, and facilitating meaningful activities that they enjoy.
Aged Health Carers need high levels of emotional intelligence. They must be good listeners, having true empathy for older people and their families. They need to have some knowledge of medical and healthcare issues, and some digital literacies to interact with healthcare systems and robots. They will have knowledge of human psychology to help elderly patients feel valued and supported.","AOW5, AOW8",S,people,,
Aged persons climate solutions consultant,"Aged persons climate solutions consultants will work with government, councils, and elderly people to design strategies to guard against the effects of extreme weather on elderly populations.","As the planet warms we already have longer and hotter spells of weather, and more severe storms, that are dangerous for elderly citizens in particular.
Adverse effects from these weather events are concentrated in elderly populations.
An Aged Persons Climate Solutions Consultant will work with government, councils, and with elderly people directly to design strategies to guard against these effects of extreme weather.
Solutions will involve warning systems and automated monitoring, community retreats, and systems of health care workers advising and supporting individuals.
The Aged Persons Climate Solutions Consultant will be knowledgeable about the health implications of weather events, and skilled in devising creative strategies particular to the needs of different people and communities. They will have good communication skills working with government and with the elderly, and empathy and understanding of the needs of older people. They will have technology skills enabling them to conceive of and advise about monitoring and control systems.","AOW1, AOW5, AOW8, AOW10","S, I, A",env,,new
Agroecological farmer,"Agroecological farmers will grow crops and biofuel, while restoring agricultural balance.","The Agroecological Farmer grows crops and biofuel, while restoring agricultural balance.
They cultivate agricultural ecosystems, the different elements of which work together to create an effective, efficient and sustainable means of feeding and fuelling the planet.
Many Agroecological Farmers will be based in urban areas, where they run vertical farms, but others will still be located in rural areas.
The Agroecological Farmer cultivates trees, shrubs, and ‘weeds’ among crops, using intercropping techniques to create microclimates that are beneficial, and to repel pest insects. They will provide targeted irrigation to the root systems of plants, preventing run-off that might cause erosion and loss of soil nutrients.
Agroecological Farmers will use a wide range of technologies in their work, including robots for fieldwork, gene editing for hardy crops, and big data-informed practice. Sensors are embedded into the soil and air, measuring exactly how much of the right green fertiliser is needed, what the temperature is, and how much watering is required.
Agroecological farmers have knowledge of how plants, soil, insects, animals, nutrients, water and weather interact with one another to create the living systems. They know about how to grow food and biofuel in sustainable ways. They enjoy working with plants, and have practical skills in fieldwork and robot repair. They have good data analysis skills, and can use algorithmic software to learn what the best sustainable and productive framing options might be.","AOW1, AOW3, AOW10, AOW14, AOW16","R, C",ag,,
AI educator,"AI educators will help people make the most of artificial intelligence, including learning how to use digital tools and data, and how to work with digital and robotic assistants.","AI Educators will teach people about making the most of artificial intelligence.
This might include learning how to work with their household robots and digital assistants, through to learning how to use algorithmic tools to analyse big data or make decisions.
Unlike an algorithmic interpreter, who is there to explain exactly how artificial intelligence arrived at a particular answer, the AI educator will teach people how machines learn and adapt.
They will work with people to help them work out when and how to use their robot/assistant, ‘feed’ it the right data, and interact with it in ways that will get them the answers they want.
AI Educators will have excellent interpersonal skills, and have knowledge of teaching strategies that work with different kinds of clients. They will be digitally literate, and have good practical knowledge of robot/digital assistant interaction. A basic knowledge of machine learning will also be required.","AOW16, AOW17",S,people,,new
AI intellectual property negotiator,"AI intellectual property negotiators will negotiate for the ownership of new technologies, products, software, or other creative outputs.","AI Intellectual Property Negotiators will know the value of creativity.
They will negotiate on behalf of their clients for the ownership or use of new technologies, products, software, or other creative outputs.
In the innovation age, demand for intellectual property titles, such as patents, trademarks, industrial designs and copyright, will be enormous and very complex.
As well as negotiating on behalf of people who are developing artificial intelligence software and algorithms, the AI IP Negotiator will negotiate on behalf of artificially intelligent entities that have created new things. They will also represent people when artificial intelligence has used their ideas without permission.
AI Intellectual Property Negotiators will have advanced skills and knowledge in intellectual property law within their jurisdictions. They will have excellent analytical skills, along with interpersonal negotiation and persuasion capabilities. They will have strong attention to detail, and keep up to date with the latest in artificial intelligence developments.","AOW7, AOW12, AOW17","E, S",buslaw,,
Algorithm interpreter,Algorithm interpreters will help people understand how algorithms work and why artificial intelligence has come up with the decisions that it has.,"The basis of data analysis and decision- making is the algorithm that breaks data into patterns, which are then used for predictive intervention, such as predicting the personal preferences of individuals and what they are likely to purchase.
However, many people or companies working with algorithm-based decision-making software, or machines, will have a limited understanding of where these interpretations come from or the basis on which these decisions are made.
An Algorithm Interpreter will help people understand how algorithms work and why artificial intelligence has come up with decisions it has.
Interpretation topics might include algorithms for insurance evaluations, loan applications, employment decisions, court judgements, and dating app rejections. They will translate white box decision outcomes (when system workings are known) into plain English for people of all ages and cultural backgrounds. Some will help make sense of black box decision outcomes (when the internal workings of the system are not known). They may also interpret and report individual or company needs to software designers to maximise the effectiveness of the AI product.
The Algorithm Interpreter will need strong knowledge of coding processes and of statistical analysis. They will also need insight into human needs, and communication skills necessary for unpacking clients’ perspectives, and helping them with decisions based on the machine learning algorithmic output.","AOW17, AOW18","I, C, S",data,,new
Analogue experience guide,"Analogue experience guides will help people unplug from digital life and reconnect with the natural world, without digital implants or augmented reality.","Analogue Experience Guides support people to ‘unplug’ from digital life and reconnect with the natural world, without digital implants or augmented reality.
Analogue Experience Guides help people to appreciate a simpler and slower life by experiencing natural environments such as forests or mountainous areas without digital infrastructure or surveillance.
Along with psychologists and other healthcare workers, they may work with people to help them recover from digital, implant, or aesthetic modification addictions.
They may employ approaches such as: horticultural therapy (cultivation of plants); yoga; mindfulness techniques; traditional food preparation and cooking methods without bioprinting or other processing; and analogue art-making.
Analogue Experience Guides have strong interpersonal skills, and specific skills in their preferred therapeutic techniques. They have a deep appreciation of nature, horticultural skills, and prefer to live simply without too much digital input.","AOW2, AOW4, AOW8, AOW10","S, R",ex,,
